time,x,y,z,lat,lon,h,clock_bias_m,used_sats,pdop,gdop,east,north,up,horiz,three_d
2026-04-27T00:55:30,-2148744.0432,4426639.1197,4044654.5061,39.60860270,115.89249580,85.0431,-4.4392,8,2.787,3.321,0.2699,0.3908,-2.5982,0.4749,2.6412
2026-04-27T00:56:00,-2148744.1272,4426638.7055,4044654.3760,39.60860373,115.89249878,84.7014,-4.6522,8,2.774,3.305,0.5263,0.5047,-2.9399,0.7291,3.0290
2026-04-27T00:56:30,-2148744.2595,4426638.6941,4044653.9477,39.60860048,115.89250023,84.4650,-4.9770,8,2.762,3.289,0.6503,0.1444,-3.1764,0.6662,3.2455
2026-04-27T00:57:00,-2148744.1856,4426639.2492,4044654.4720,39.60860144,115.89249663,85.1591,-4.2169,8,2.750,3.274,0.3414,0.2505,-2.4822,0.4235,2.5181
2026-04-27T00:57:30,-2148744.4434,4426639.3501,4044654.6483,39.60860149,115.89249882,85.4282,-4.1958,8,2.738,3.258,0.5293,0.2567,-2.2132,0.5883,2.2900
2026-04-27T00:58:00,-2148743.6367,4426637.8720,4044652.9682,39.60859949,115.89249788,83.0611,-5.7873,8,2.727,3.243,0.4490,0.0347,-4.5802,0.4504,4.6023
2026-04-27T00:58:30,-2148744.3427,4426639.2306,4044654.6183,39.60860216,115.89249837,85.2923,-4.1992,8,2.715,3.229,0.4909,0.3302,-2.3491,0.5916,2.4224
2026-04-27T00:59:00,-2148743.8737,4426637.6529,4044652.9625,39.60859999,115.89250148,82.9854,-5.9296,9,2.007,2.311,0.7579,0.0900,-4.6559,0.7632,4.7181
2026-04-27T00:59:30,-2148744.2859,4426639.1503,4044653.6723,39.60859615,115.89249819,84.6145,-4.7681,9,2.015,2.322,0.4749,-0.3368,-3.0269,0.5822,3.0824
2026-04-27T01:00:00,-2148744.3279,4426639.0007,4044654.3100,39.60860124,115.89249939,84.9315,-4.7206,9,2.024,2.333,0.5780,0.2287,-2.7098,0.6216,2.7802
2026-04-27T01:00:30,-2148743.7219,4426638.6142,4044653.8171,39.60860134,115.89249500,84.1454,-5.1509,9,2.033,2.343,0.2015,0.2393,-3.4959,0.3128,3.5099
2026-04-27T01:01:00,-2148743.9152,4426638.6550,4044654.4070,39.60860474,115.89249682,84.6149,-4.9454,9,2.042,2.354,0.3577,0.6166,-3.0264,0.7128,3.1092
2026-04-27T01:01:30,-2148744.0043,4426638.8884,4044654.8800,39.60860659,115.89249657,85.1082,-4.2951,9,2.051,2.365,0.3359,0.8222,-2.5332,0.8882,2.6844
2026-04-27T01:02:00,-2148744.4628,4426639.8262,4044655.2283,39.60860301,115.89249660,86.1344,-3.7061,9,2.060,2.376,0.3389,0.4251,-1.5069,0.5437,1.6020
2026-04-27T01:02:30,-2148743.7152,4426637.1172,4044652.2698,39.60859835,115.89250254,82.1192,-6.6148,9,2.069,2.387,0.8492,-0.0923,-5.5221,0.8542,5.5878
2026-04-27T01:03:00,-2148744.0985,4426638.6023,4044653.8793,39.60860089,115.89249901,84.3035,-5.0571,9,2.078,2.398,0.5456,0.1892,-3.3378,0.5774,3.3874
2026-04-27T01:03:30,-2148744.1330,4426639.2305,4044654.4698,39.60860165,115.89249618,85.1270,-4.2856,9,2.087,2.409,0.3023,0.2742,-2.5143,0.4081,2.5472
2026-04-27T01:04:00,-2148744.1656,4426638.7534,4044654.0385,39.60860104,115.89249894,84.5324,-4.9720,9,2.096,2.420,0.5399,0.2065,-3.1090,0.5781,3.1623
2026-04-27T01:04:30,-2148743.8854,4426638.5761,4044653.6893,39.60860024,115.89249691,84.0926,-5.0917,9,2.106,2.431,0.3653,0.1172,-3.5487,0.3836,3.5694
2026-04-27T01:05:00,-2148743.6899,4426638.3071,4044653.0707,39.60859782,115.89249623,83.4460,-5.7202,9,2.115,2.442,0.3069,-0.1507,-4.1954,0.3419,4.2093
2026-04-27T01:05:30,-2148743.9284,4426638.6980,4044653.3248,39.60859697,115.89249674,83.9591,-5.2075,9,2.124,2.453,0.3507,-0.2455,-3.6822,0.4281,3.7070
2026-04-27T01:06:00,-2148744.0046,4426638.8984,4044653.7113,39.60859843,115.89249652,84.3701,-4.9655,9,2.133,2.464,0.3318,-0.0839,-3.2713,0.3422,3.2891
2026-04-27T01:06:30,-2148744.1367,4426638.7479,4044653.9837,39.60860076,115.89249867,84.4839,-4.8851,9,2.142,2.475,0.5163,0.1755,-3.1574,0.5453,3.2042
2026-04-27T01:07:00,-2148744.0108,4426638.2578,4044653.7510,39.60860199,115.89249984,83.9535,-5.1648,9,2.152,2.486,0.6171,0.3124,-3.6878,0.6916,3.7521
2026-04-27T01:07:30,-2148744.1427,4426638.6744,4044653.5331,39.60859800,115.89249911,84.1477,-5.0582,9,2.161,2.497,0.5539,-0.1312,-3.4936,0.5692,3.5397
2026-04-27T01:08:00,-2148743.7919,4426638.3528,4044654.3643,39.60860631,115.89249707,84.3367,-4.9940,9,2.170,2.508,0.3787,0.7913,-3.3046,0.8773,3.4191
2026-04-27T01:08:30,-2148743.8770,4426638.5535,4044653.9186,39.60860197,115.89249694,84.2202,-5.0301,9,2.179,2.518,0.3676,0.3091,-3.4211,0.4803,3.4546
2026-04-27T01:09:00,-2148743.8940,4426638.3411,4044654.0164,39.60860370,115.89249819,84.1412,-5.0697,9,2.188,2.529,0.4756,0.5016,-3.5002,0.6912,3.5678
2026-04-27T01:09:30,-2148745.2202,4426640.5581,4044655.3109,39.60859790,115.89250081,86.9491,-3.1070,10,1.729,1.961,0.7006,-0.1419,-0.6922,0.7149,0.9951
2026-04-27T01:10:00,-2148744.9740,4426640.0573,4044655.3748,39.60860155,115.89250078,86.5600,-3.6156,10,1.733,1.966,0.6978,0.2631,-1.0813,0.7457,1.3136
2026-04-27T01:10:30,-2148745.3401,4426640.8916,4044655.9853,39.60860056,115.89250037,87.6506,-2.6731,10,1.737,1.970,0.6628,0.1531,0.0093,0.6802,0.6803
2026-04-27T01:11:00,-2148744.4101,4426639.3541,4044654.6969,39.60860189,115.89249845,85.4507,-4.3945,10,1.741,1.975,0.4976,0.3012,-2.1906,0.5817,2.2665
2026-04-27T01:11:30,-2148744.8063,4426640.1833,4044655.5213,39.60860234,115.89249838,86.6842,-3.3209,10,1.745,1.979,0.4919,0.3504,-0.9571,0.6040,1.1317
2026-04-27T01:12:00,-2148744.9120,4426639.7981,4044654.9243,39.60859992,115.89250145,86.0723,-3.9142,10,1.748,1.984,0.7552,0.0820,-1.5690,0.7596,1.7433
2026-04-27T01:12:30,-2148744.8211,4426639.5588,4044654.9690,39.60860169,115.89250172,85.9043,-4.0010,10,1.752,1.988,0.7780,0.2789,-1.7370,0.8265,1.9236
